"x"	"y"
1	0.494
2	1.11
3	1.428
4	1.626
5	1.652
6	1.65
7	1.358
8	1.362
9	1.816
10	1.362
11	1.634
12	1.708
13	1.526
14	1.564
15	1.488
16	1.574
17	1.362
18	1.418
19	1.358
20	1.32
21	1.29
22	1.19
23	1.18
24	1.062
25	0.944
26	1.004
27	0.814
28	0.794
29	0.73
30	0.658
31	0.554
32	0.52
33	0.466
34	0.394
35	0.372
36	0.336
37	0.256
38	0.244
39	0.206
40	0.184
41	0.128
42	0.138
43	0.116
44	0.094
45	0.06
46	0.068
47	0.056
48	0.052
49	0.03
50	0.036
51	0.032
52	0.044
53	0.026
54	0.02
55	0.014
56	0.02
57	0.014
58	0.006
59	0.006
60	0.004
61	0.006
62	0.006
63	0.002
64	0.002
65	0.002
66	0.002
67	0.004
68	0
69	0.006
70	0
71	0.002
72	0
73	0.002
74	0.002
75	0.002
76	0
77	0
78	0
79	0
80	0.002
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0.002
