"x"	"y"
1	0.02
2	0
3	0
4	0
5	0.01
6	0.01
7	0.07
8	0.01
9	0.02
10	0.01
11	0.04
12	0.03
13	0.05
14	0.08
15	0.1
16	0.05
17	0.09
18	0.13
19	0.06
20	0.12
21	0.09
22	0.14
23	0.17
24	0.19
25	0.2
26	0.23
27	0.18
28	0.29
29	0.4
30	0.41
31	0.38
32	0.43
33	0.29
34	0.37
35	0.42
36	0.5
37	0.57
38	0.69
39	0.55
40	0.62
41	0.6
42	0.67
43	0.72
44	0.82
45	0.82
46	0.8
47	0.99
48	0.9
49	1.17
50	1.11
51	1.07
52	1.12
53	1.21
54	1.31
55	1.29
56	1.51
57	1.26
58	1.43
59	1.46
60	1.67
61	1.64
62	1.59
63	1.74
64	1.76
65	1.98
66	1.82
67	1.91
68	2.3
69	2.19
70	2.08
71	2.27
72	1.86
73	2.28
74	2.21
75	2.17
76	2.19
77	2.29
78	2.11
79	2.2
80	2.37
81	2.39
82	2.35
83	2.57
84	2.53
85	2.55
86	2.64
87	2.72
88	2.71
89	2.7
90	3.03
91	2.78
92	2.82
93	2.69
94	2.87
95	2.98
96	2.91
97	2.89
98	2.97
99	2.72
100	2.77
101	3.12
102	2.98
103	2.92
104	3.19
105	2.79
106	2.82
107	2.95
108	2.91
109	2.97
110	2.75
111	2.97
112	2.84
113	2.9
114	2.95
115	3.29
116	3.16
117	3.07
118	3.18
119	2.96
120	2.99
121	3.33
122	3.11
123	2.9
124	2.68
125	2.88
126	3.13
127	2.8
128	2.72
129	3.16
130	2.94
131	2.71
132	3.16
133	2.96
134	2.89
135	3.25
136	2.82
137	2.65
138	2.96
139	2.99
140	2.73
141	2.74
142	2.56
143	2.99
144	3.04
145	2.97
146	2.63
147	2.81
148	2.68
149	2.71
150	2.6
151	2.87
152	2.56
153	2.62
154	2.89
155	2.72
156	2.67
157	2.7
158	2.57
159	2.83
160	2.78
161	2.68
162	2.67
163	2.55
164	2.26
165	2.32
166	2.51
167	2.32
168	2.42
169	2.37
170	2.24
171	2.31
172	2.43
173	2.49
174	2.16
175	2.29
176	2.16
177	2.23
178	2.11
179	2.11
180	1.98
181	2.22
182	2
183	2.09
184	1.93
185	2.02
186	1.85
187	1.81
188	2.04
189	1.86
190	1.83
191	1.92
192	1.83
193	1.91
194	1.64
195	1.81
196	1.73
197	1.58
198	1.7
199	1.79
200	1.57
201	1.39
202	1.41
203	1.35
204	1.52
205	1.32
206	1.36
207	1.39
208	1.27
209	1.34
210	1.18
211	1.27
212	1.08
213	1.09
214	1.28
215	1.11
216	1.04
217	1.09
218	1.1
219	1.19
220	1
221	1.13
222	0.99
223	0.99
224	1.02
225	1.18
226	0.89
227	1.15
228	1.02
229	0.88
230	1.01
231	0.8
232	0.77
233	0.91
234	0.92
235	0.68
236	0.77
237	0.88
238	0.77
239	0.82
240	0.8
241	0.77
242	0.82
243	0.75
244	0.68
245	0.64
246	0.7
247	0.61
248	0.56
249	0.61
250	0.65
251	0.44
252	0.56
253	0.57
254	0.47
255	0.55
256	0.47
257	0.57
258	0.44
259	0.36
260	0.54
261	0.32
262	0.45
263	0.34
264	0.32
265	0.39
266	0.34
267	0.43
268	0.37
269	0.42
270	0.33
271	0.31
272	0.37
273	0.3
274	0.41
275	0.23
276	0.4
277	0.31
278	0.28
279	0.19
280	0.26
281	0.3
282	0.32
283	0.28
284	0.16
285	0.26
286	0.23
287	0.24
288	0.33
289	0.2
290	0.18
291	0.18
292	0.19
293	0.08
294	0.2
295	0.22
296	0.15
297	0.17
298	0.21
299	0.13
300	0.09
301	0.27
302	0.18
303	0.22
304	0.08
305	0.16
306	0.18
307	0.12
308	0.14
309	0.14
310	0.09
311	0.13
312	0.1
313	0.16
314	0.16
315	0.12
316	0.13
317	0.11
318	0.11
319	0.13
320	0.09
321	0.13
322	0.06
323	0.1
324	0.06
325	0.08
326	0.06
327	0.08
328	0.03
329	0.04
330	0.07
331	0.11
332	0.11
333	0.05
334	0.04
335	0.07
336	0.04
337	0.05
338	0.05
339	0.02
340	0.05
341	0.05
342	0.05
343	0.09
344	0.05
345	0.03
346	0.07
347	0.03
348	0.03
349	0.04
350	0.06
351	0.04
352	0.03
353	0.02
354	0.02
355	0.04
356	0.03
357	0.05
358	0
359	0.02
360	0.04
361	0.02
362	0.03
363	0.07
364	0.02
365	0.03
366	0.05
367	0.04
368	0.01
369	0.02
370	0.02
371	0.01
372	0.04
373	0.02
374	0.01
375	0.02
376	0
377	0.05
378	0.02
379	0.01
380	0.04
381	0
382	0.02
383	0
384	0.01
385	0.04
386	0
387	0.02
388	0
389	0
390	0
391	0.02
392	0.01
393	0.02
394	0.01
395	0.03
396	0.01
397	0
398	0
399	0.02
400	0.01
401	0
402	0.01
403	0
404	0.01
405	0
406	0
407	0
408	0.02
409	0
410	0.01
411	0.01
412	0
413	0.01
414	0.01
415	0
416	0
417	0.01
418	0.01
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0.01
431	0.01
432	0
433	0
434	0
435	0.01
436	0
437	0
438	0
439	0
440	0
441	0.01
442	0
443	0
444	0
445	0.01
446	0
447	0
448	0
449	0.01
450	0.01
451	0
452	0.01
453	0
454	0
455	0.01
456	0.01
457	0
458	0
459	0.01
460	0
461	0
462	0
463	0
464	0
465	0
