"x"	"y"
1	0.006
2	0.024
3	0.06
4	0.09
5	0.158
6	0.302
7	1.52225613999367
8	0.586
9	0.726
10	0.994
11	0.513991624116898
12	1.466
13	1.77447762966156
14	2.06
15	2.158
16	2.232
17	0.453055837869644
18	2.76
19	2.828
20	2.81741319537163
21	3
22	2.88
23	2.40311559963226
24	3.072
25	2.98
26	2.95
27	2.994
28	2.83
29	2.46206431102753
30	1.9971768758297
31	0.118674565315247
32	2.71
33	2.496
34	2.372
35	2.336
36	1.19451803040504
37	3.01740345668793
38	1.878
39	1.822
40	2.12222814917564
41	1.58188264775276
42	1.308
43	1.166
44	0.57629435133934
45	2.76199897384644
46	2.23869921112061
47	0.816
48	0.808
49	0.732
50	0.626
51	0.518
52	0.476
53	0.364
54	0.378
55	0.324
56	1.14548486852646
57	2.90767674779892
58	0.236
59	0.859085827589035
60	0.15
61	0.182
62	0.134
63	0.134
64	0.114
65	0.086
66	0.056
67	0.076
68	0.042
69	0.054
70	0.870185548067093
71	0.960961674213409
72	0.028
73	2.61127972269058
74	0.028
75	0.02
76	0.024
77	0.014
78	0.004
79	1.29010707378387
80	0.008
81	2.03668187355995
82	1.83860892319679
83	0.006
84	0.004
85	0
86	0.002
87	0.004
88	0
89	2.67680368709564
90	0.004
91	0.004
92	0.004
93	0
94	0
95	2.34088586568832
96	1.82244220876694
97	0.60596586728096
98	0
99	2.46542157840729
100	0.004
