"x"	"y"
0	0.01
1	0
2	0
3	0
4	0.01
5	0.01
6	0
7	0
8	0
9	0
10	0
11	0.01
12	0
13	0
14	0.03
15	0
16	0
17	0
18	0.02
19	0
20	0.01
21	0
22	0.01
23	0.02
24	0
25	0
26	0
27	0
28	0.03
29	0.03
30	0.03
31	0.01
32	0.02
33	0.01
34	0.04
35	0.04
36	0.02
37	0.03
38	0.04
39	0.06
40	0.04
41	0.04
42	0.03
43	0.04
44	0.07
45	0.03
46	0.05
47	0.06
48	0.05
49	0.11
50	0.07
51	0.12
52	0.07
53	0.12
54	0.08
55	0.1
56	0.15
57	0.09
58	0.15
59	0.08
60	0.15
61	0.16
62	0.1
63	0.14
64	0.22
65	0.26
66	0.26
67	0.23
68	0.16
69	0.3
70	0.23
71	0.26
72	0.34
73	0.21
74	0.28
75	0.23
76	0.36
77	0.38
78	0.4
79	0.26
80	0.29
81	0.42
82	0.46
83	0.34
84	0.55
85	0.53
86	0.59
87	0.58
88	0.64
89	0.6
90	0.59
91	0.74
92	0.63
93	0.75
94	0.79
95	0.83
96	0.7
97	0.77
98	0.73
99	1.01
100	0.99
101	0.7
102	1.04
103	1.18
104	0.95
105	1.31
106	1.14
107	1.23
108	1.27
109	1.23
110	1.24
111	1.19
112	1.4
113	1.49
114	1.6
115	1.51
116	1.52
117	1.6
118	1.73
119	1.43
120	1.7
121	1.72
122	1.55
123	1.5
124	1.75
125	1.77
126	1.63
127	1.6
128	1.97
129	2.2
130	1.88
131	1.96
132	1.95
133	1.96
134	2.13
135	1.99
136	1.95
137	2.15
138	2.05
139	2.17
140	2.19
141	2.24
142	1.96
143	2.23
144	2.23
145	2.15
146	2.58
147	2.04
148	2.5
149	2.07
150	1.95
151	2.38
152	2.38
153	2.29
154	2.21
155	2.47
156	2.32
157	2.4
158	2.51
159	2.31
160	2.1
161	2.41
162	2.35
163	2.29
164	2.2
165	2.29
166	2.33
167	2.13
168	2.11
169	2.3
170	2.03
171	2.57
172	2.32
173	2.26
174	2.22
175	2.07
176	2.11
177	1.87
178	1.86
179	1.92
180	1.86
181	1.96
182	1.97
183	1.72
184	2.07
185	2.14
186	1.76
187	1.92
188	1.63
189	1.79
190	1.62
191	1.72
192	1.97
193	1.55
194	1.82
195	1.72
196	1.55
197	1.23
198	1.45
199	1.36
200	1.57
201	1.19
202	1.41
203	1.32
204	1.17
205	1.21
206	1.4
207	1.26
208	1
209	1.17
210	0.86
211	0.96
212	0.85
213	1.09
214	0.87
215	0.9
216	0.87
217	0.7
218	0.75
219	0.66
220	0.61
221	0.56
222	0.76
223	0.78
224	0.67
225	0.73
226	0.63
227	0.59
228	0.65
229	0.47
230	0.56
231	0.39
232	0.43
233	0.48
234	0.5
235	0.57
236	0.28
237	0.51
238	0.43
239	0.41
240	0.35
241	0.36
242	0.34
243	0.41
244	0.39
245	0.41
246	0.36
247	0.37
248	0.44
249	0.42
250	0.47
251	0.45
252	0.38
253	0.45
254	0.41
255	0.42
256	0.46
257	0.48
258	0.51
259	0.43
260	0.52
261	0.55
262	0.7
263	0.61
264	0.65
265	0.43
266	0.59
267	0.62
268	0.59
269	0.64
270	0.63
271	0.82
272	0.75
273	0.61
274	0.76
275	1.12
276	0.88
277	0.9
278	0.97
279	0.96
280	1.15
281	1.03
282	0.93
283	1.16
284	1.02
285	1.19
286	1.12
287	0.99
288	1.03
289	1.18
290	1.23
291	1.1
292	1.3
293	1.22
294	1.21
295	1.7
296	1.53
297	1.58
298	1.71
299	1.63
300	1.59
301	1.57
302	1.74
303	1.49
304	1.88
305	1.57
306	1.71
307	1.79
308	1.79
309	1.97
310	2.11
311	1.88
312	2.02
313	1.91
314	1.96
315	2.23
316	2.1
317	2.14
318	2.21
319	2.18
320	2.06
321	2.23
322	2.15
323	2.24
324	2.21
325	2.4
326	2.4
327	2.29
328	2.35
329	2.37
330	2.32
331	2.49
332	2.35
333	2.42
334	2.36
335	2.47
336	2.5
337	2.35
338	2.16
339	2.38
340	2.48
341	2.52
342	2.06
343	2.37
344	2.31
345	2.44
346	2.17
347	2.43
348	2.19
349	2.06
350	2.13
351	1.94
352	2.18
353	2.08
354	2.11
355	2.18
356	2.08
357	2.23
358	2.07
359	1.87
360	1.9
361	2.01
362	1.81
363	1.93
364	2.02
365	1.92
366	1.61
367	1.76
368	1.8
369	1.69
370	1.68
371	1.6
372	1.63
373	1.58
374	1.56
375	1.67
376	1.45
377	1.6
378	1.37
379	1.5
380	1.32
381	1.37
382	1.08
383	1.1
384	1.33
385	1.15
386	0.98
387	1.05
388	0.99
389	1.14
390	1.05
391	0.88
392	0.96
393	0.86
394	0.94
395	0.99
396	0.83
397	0.8
398	0.81
399	0.73
400	0.73
401	0.57
402	0.67
403	0.49
404	0.66
405	0.55
406	0.49
407	0.51
408	0.55
409	0.33
410	0.42
411	0.47
412	0.49
413	0.34
414	0.41
415	0.32
416	0.31
417	0.29
418	0.23
419	0.31
420	0.29
421	0.16
422	0.18
423	0.25
424	0.29
425	0.29
426	0.22
427	0.1
428	0.18
429	0.17
430	0.13
431	0.16
432	0.18
433	0.13
434	0.13
435	0.12
436	0.09
437	0.09
438	0.16
439	0.1
440	0.09
441	0.05
442	0.03
443	0.05
444	0.05
445	0.06
446	0.05
447	0.06
448	0.06
449	0.06
450	0.04
451	0.06
452	0.02
453	0.01
454	0.04
455	0.04
456	0.01
457	0.02
458	0
459	0.03
460	0.02
461	0.03
462	0.03
463	0.01
464	0
465	0
466	0.05
467	0.03
468	0
469	0
470	0
471	0
472	0.01
473	0
474	0.01
475	0
476	0.01
477	0
478	0
479	0.02
480	0
481	0.01
482	0
483	0
484	0
485	0
486	0
487	0.01
488	0
489	0
490	0
491	0.01
492	0
493	0
494	0
495	0.01
496	0
497	0
498	0
499	0.02
