"x"	"y"
0	0.0025
1	0
2	0.0025
3	0
4	0
5	0.0645612740010256
6	0.0125
7	0.005
8	0.0175
9	0.0275
10	0.0275
11	0.0125
12	0.05
13	0.04
14	0.075
15	0.1275
16	0.1625
17	0.2
18	0.2125
19	0.1925
20	0.2975
21	0.3975
22	0.4425
23	0.5225
24	0.67
25	0.8375
26	0.995
27	1.035
28	1.1375
29	1.3025
30	1.4925
31	1.6425
32	1.7925
33	1.84
34	1.875
35	2.0425
36	2.165
37	2.1475
38	2.3475
39	2.4475
40	2.3275
41	2.275
42	2.3625
43	2.2425
44	2.2825
45	0.701779958507395
46	2.175
47	1.21544547979953
48	1.8275
49	1.6175
50	1.515
51	1.36
52	1.2425
53	1.15
54	1.01
55	0.875
56	0.8625
57	0.91
58	0.73
59	0.66
60	0.17302449156763
61	0.7275
62	0.7175
63	2.15349964046734
64	0.87
65	0.945
66	1.1225
67	1.145
68	1.305
69	1.455
70	1.57
71	1.725
72	1.9025
73	1.7925
74	0.100846721353009
75	2.15
76	2.145
77	2.3175
78	2.27
79	1.37145407074015
80	2.365
81	2.31
82	2.29
83	1.30559081654879
84	0.462846775519429
85	2.1675
86	2.05
87	1.75
88	1.7125
89	1.56
90	1.4575
91	1.18
92	1.1525
93	1.025
94	0.8775
95	0.815
96	0.635
97	0.5075
98	0.445
99	1.7380977122637
100	0.29
101	0.23
102	0.19
103	0.1575
104	0.1025
105	0.095
106	0.075
107	0.045
108	0.0275
109	0.924764442762243
110	0.0325
111	0.0125
112	0.01
113	0.005
114	0
115	0.0075
116	0.0025
117	0.0025
118	0
119	0.0025
120	0
121	0
122	0
123	0.181455724851112
124	0.0025
